# l                Dl               -dDl             +dDl             
  1.17000000e+02   1.33627942e+00   2.64193231e-01   2.64193231e-01
  1.18000000e+02   9.77910059e-01   2.66185376e-01   2.66185376e-01
  1.19000000e+02   1.30914217e+00   2.68136163e-01   2.68136163e-01
  1.20000000e+02   1.25286353e+00   2.70045309e-01   2.70045309e-01
  1.21000000e+02   1.25644232e+00   2.71912296e-01   2.71912296e-01
  1.22000000e+02   9.46028671e-01   2.73736788e-01   2.73736788e-01
  1.23000000e+02   8.78420827e-01   2.75518395e-01   2.75518395e-01
  1.24000000e+02   1.21830614e+00   2.77256753e-01   2.77256753e-01
  1.25000000e+02   1.30317698e+00   2.78951511e-01   2.78951511e-01
  1.26000000e+02   8.89956623e-01   2.80602279e-01   2.80602279e-01
  1.27000000e+02   1.17025288e+00   2.82208794e-01   2.82208794e-01
  1.28000000e+02   1.37985554e+00   2.83770650e-01   2.83770650e-01
  1.29000000e+02   1.43955542e+00   2.85287527e-01   2.85287527e-01
  1.30000000e+02   5.58780866e-01   2.86759119e-01   2.86759119e-01
  1.31000000e+02   6.69099194e-01   2.88185154e-01   2.88185154e-01
  1.32000000e+02   9.17137630e-01   2.89565469e-01   2.89565469e-01
  1.33000000e+02   1.06845570e+00   2.90900612e-01   2.90900612e-01
  1.34000000e+02   1.49325548e+00   2.92191337e-01   2.92191337e-01
  1.35000000e+02   1.26711896e+00   2.93438760e-01   2.93438760e-01
  1.36000000e+02   1.60230866e+00   2.94643654e-01   2.94643654e-01
  1.37000000e+02   1.08301538e+00   2.95806745e-01   2.95806745e-01
  1.38000000e+02   1.05996931e+00   2.96928875e-01   2.96928875e-01
  1.39000000e+02   1.19395394e+00   2.98010846e-01   2.98010846e-01
  1.40000000e+02   6.03720509e-01   2.99053444e-01   2.99053444e-01
  1.41000000e+02   4.88569095e-01   3.00057331e-01   3.00057331e-01
  1.42000000e+02   1.36730031e+00   3.01023333e-01   3.01023333e-01
  1.43000000e+02   1.44365037e+00   3.01952184e-01   3.01952184e-01
  1.44000000e+02   1.02646549e+00   3.02844606e-01   3.02844606e-01
  1.45000000e+02   8.96991113e-01   3.03701271e-01   3.03701271e-01
  1.46000000e+02   1.13129202e+00   3.04522877e-01   3.04522877e-01
  1.47000000e+02   9.96768318e-01   3.05310182e-01   3.05310182e-01
  1.48000000e+02   9.71454306e-01   3.06063811e-01   3.06063811e-01
  1.49000000e+02   7.92480892e-01   3.06784609e-01   3.06784609e-01
  1.50000000e+02   7.43996967e-01   3.07474398e-01   3.07474398e-01
  1.51000000e+02   1.34239728e+00   3.08135131e-01   3.08135131e-01
  1.52000000e+02   1.16595695e+00   3.08768788e-01   3.08768788e-01
  1.53000000e+02   9.92670712e-01   3.09377122e-01   3.09377122e-01
  1.54000000e+02   8.97603734e-01   3.09962048e-01   3.09962048e-01
  1.55000000e+02   1.00521204e+00   3.10525391e-01   3.10525391e-01
  1.56000000e+02   6.26138709e-01   3.11068885e-01   3.11068885e-01
  1.57000000e+02   1.48411825e+00   3.11594312e-01   3.11594312e-01
  1.58000000e+02   1.77180217e+00   3.12103386e-01   3.12103386e-01
  1.59000000e+02   1.40947436e+00   3.12597836e-01   3.12597836e-01
  1.60000000e+02   7.31907798e-01   3.13079247e-01   3.13079247e-01
  1.61000000e+02   9.39695333e-01   3.13549295e-01   3.13549295e-01
  1.62000000e+02   8.06758243e-01   3.14009552e-01   3.14009552e-01
  1.63000000e+02   6.90831837e-01   3.14461609e-01   3.14461609e-01
  1.64000000e+02   9.04278392e-01   3.14906996e-01   3.14906996e-01
  1.65000000e+02   7.76171311e-01   3.15347200e-01   3.15347200e-01
  1.66000000e+02   7.37429414e-01   3.15783917e-01   3.15783917e-01
  1.67000000e+02   1.50818996e+00   3.16219565e-01   3.16219565e-01
  1.68000000e+02   6.14429541e-01   3.16656841e-01   3.16656841e-01
  1.69000000e+02   7.15529198e-01   3.17098150e-01   3.17098150e-01
  1.70000000e+02   1.18688428e+00   3.17546027e-01   3.17546027e-01
  1.71000000e+02   6.11456516e-01   3.18002898e-01   3.18002898e-01
  1.72000000e+02   8.90947262e-01   3.18471182e-01   3.18471182e-01
  1.73000000e+02   1.50266017e+00   3.18953200e-01   3.18953200e-01
  1.74000000e+02   3.39044912e-01   3.19451283e-01   3.19451283e-01
  1.75000000e+02   7.57858115e-01   3.19967664e-01   3.19967664e-01
  1.76000000e+02   7.39555619e-01   3.20504573e-01   3.20504573e-01
  1.77000000e+02   5.75424618e-01   3.21064173e-01   3.21064173e-01
  1.78000000e+02   1.49528756e+00   3.21648605e-01   3.21648605e-01
  1.79000000e+02   1.43634717e+00   3.22259941e-01   3.22259941e-01
  1.80000000e+02   1.00009946e+00   3.22900232e-01   3.22900232e-01
  1.81000000e+02   7.42097321e-01   3.23571502e-01   3.23571502e-01
  1.82000000e+02   8.90602933e-01   3.24275727e-01   3.24275727e-01
  1.83000000e+02   8.94794222e-01   3.25014965e-01   3.25014965e-01
  1.84000000e+02   1.03394428e+00   3.25791830e-01   3.25791830e-01
  1.85000000e+02  -2.67852020e-03   3.26608861e-01   3.26608861e-01
  1.86000000e+02   9.09712512e-01   3.27468641e-01   3.27468641e-01
  1.87000000e+02   1.11317988e+00   3.28373711e-01   3.28373711e-01
  1.88000000e+02   1.04696334e+00   3.29326598e-01   3.29326598e-01
  1.89000000e+02   8.83441730e-01   3.30329731e-01   3.30329731e-01
  1.90000000e+02   5.80176441e-01   3.31385539e-01   3.31385539e-01
  1.91000000e+02   9.84684998e-01   3.32496414e-01   3.32496414e-01
  1.92000000e+02   9.96704179e-01   3.33664720e-01   3.33664720e-01
  1.93000000e+02   5.29060765e-01   3.34892788e-01   3.34892788e-01
  1.94000000e+02   4.81288526e-01   3.36182910e-01   3.36182910e-01
  1.95000000e+02   1.25430893e+00   3.37537354e-01   3.37537354e-01
  1.96000000e+02   3.47628372e-01   3.38958390e-01   3.38958390e-01
  1.97000000e+02   1.19140071e+00   3.40448241e-01   3.40448241e-01
  1.98000000e+02   8.52344147e-01   3.42009147e-01   3.42009147e-01
  1.99000000e+02   6.75313631e-01   3.43643283e-01   3.43643283e-01
  2.00000000e+02   7.78899407e-01   3.45352983e-01   3.45352983e-01
  2.01000000e+02   7.51484172e-01   3.47140479e-01   3.47140479e-01
  2.02000000e+02   1.32595678e-01   3.49008119e-01   3.49008119e-01
  2.03000000e+02   8.62655029e-01   3.50958291e-01   3.50958291e-01
  2.04000000e+02   4.59421176e-01   3.52993317e-01   3.52993317e-01
  2.05000000e+02   7.63310826e-01   3.55115582e-01   3.55115582e-01
  2.06000000e+02   1.12161009e+00   3.57327416e-01   3.57327416e-01
  2.07000000e+02   6.81398775e-01   3.59631152e-01   3.59631152e-01
  2.08000000e+02   1.29125638e+00   3.62029166e-01   3.62029166e-01
  2.09000000e+02   3.58541746e-01   3.64523816e-01   3.64523816e-01
  2.10000000e+02   1.79226718e-01   3.67117448e-01   3.67117448e-01
  2.11000000e+02   4.77664833e-01   3.69812472e-01   3.69812472e-01
  2.12000000e+02   1.23425646e+00   3.72611246e-01   3.72611246e-01
  2.13000000e+02   1.09727438e+00   3.75516180e-01   3.75516180e-01
  2.14000000e+02   1.52076700e+00   3.78529678e-01   3.78529678e-01
  2.15000000e+02   1.04148563e+00   3.81654220e-01   3.81654220e-01
  2.16000000e+02   7.80334602e-01   3.84892287e-01   3.84892287e-01
  2.17000000e+02   1.30021682e+00   3.88246218e-01   3.88246218e-01
  2.18000000e+02   7.79259137e-01   3.91718084e-01   3.91718084e-01
  2.19000000e+02   5.59003126e-01   3.95309979e-01   3.95309979e-01
  2.20000000e+02   1.04295916e+00   3.99023998e-01   3.99023998e-01
  2.21000000e+02   1.07396395e+00   4.02862243e-01   4.02862243e-01
  2.22000000e+02   1.18346965e+00   4.06826830e-01   4.06826830e-01
  2.23000000e+02   8.62524266e-01   4.10919926e-01   4.10919926e-01
  2.24000000e+02   6.06657779e-01   4.15143663e-01   4.15143663e-01
  2.25000000e+02   4.98665965e-01   4.19500263e-01   4.19500263e-01
  2.26000000e+02   7.03999450e-01   4.23991876e-01   4.23991876e-01
  2.27000000e+02   1.08926306e+00   4.28620787e-01   4.28620787e-01
  2.28000000e+02   1.73290376e+00   4.33389166e-01   4.33389166e-01
  2.29000000e+02   8.98641565e-01   4.38299310e-01   4.38299310e-01
  2.30000000e+02   1.13811013e+00   4.43353450e-01   4.43353450e-01
  2.31000000e+02   1.57324715e+00   4.48553873e-01   4.48553873e-01
  2.32000000e+02   1.74627080e+00   4.53902963e-01   4.53902963e-01
  2.33000000e+02   9.30964276e-01   4.59402932e-01   4.59402932e-01
  2.34000000e+02   1.30844702e+00   4.65055871e-01   4.65055871e-01
  2.35000000e+02   1.50672848e+00   4.70863250e-01   4.70863250e-01
  2.36000000e+02   1.33072044e+00   4.76826344e-01   4.76826344e-01
  2.37000000e+02   1.87173061e+00   4.82946385e-01   4.82946385e-01
  2.38000000e+02   1.15948026e+00   4.89224679e-01   4.89224679e-01
  2.39000000e+02   1.30531519e+00   4.95662479e-01   4.95662479e-01
  2.40000000e+02   1.94102263e+00   5.02261052e-01   5.02261052e-01
  2.41000000e+02   2.81268031e+00   5.09021668e-01   5.09021668e-01
  2.42000000e+02   1.61828193e+00   5.15945587e-01   5.15945587e-01
  2.43000000e+02   2.37992985e+00   5.23034092e-01   5.23034092e-01
  2.44000000e+02   1.86726867e+00   5.30288412e-01   5.30288412e-01
  2.45000000e+02   2.12561276e+00   5.37709796e-01   5.37709796e-01
  2.46000000e+02   2.29581818e+00   5.45299524e-01   5.45299524e-01
  2.47000000e+02   2.01502301e+00   5.53058793e-01   5.53058793e-01
  2.48000000e+02   1.49309287e+00   5.60988967e-01   5.60988967e-01
  2.49000000e+02   2.55264069e+00   5.69091133e-01   5.69091133e-01
  2.50000000e+02   2.23673045e+00   5.77366466e-01   5.77366466e-01
  2.51000000e+02   1.67185856e+00   5.85816006e-01   5.85816006e-01
  2.52000000e+02   2.88751792e+00   5.94439568e-01   5.94439568e-01
  2.53000000e+02   2.44166426e+00   6.03236834e-01   6.03236834e-01
  2.54000000e+02   2.92108311e+00   6.12207333e-01   6.12207333e-01
  2.55000000e+02   2.33499603e+00   6.21350732e-01   6.21350732e-01
  2.56000000e+02   2.84831203e+00   6.30666562e-01   6.30666562e-01
  2.57000000e+02   2.85028674e+00   6.40154408e-01   6.40154408e-01
  2.58000000e+02   4.20375771e+00   6.49813816e-01   6.49813816e-01
  2.59000000e+02   2.89656457e+00   6.59644348e-01   6.59644348e-01
  2.60000000e+02   3.28685460e+00   6.69645515e-01   6.69645515e-01
  2.61000000e+02   4.48405122e+00   6.79816860e-01   6.79816860e-01
  2.62000000e+02   3.08393374e+00   6.90157904e-01   6.90157904e-01
  2.63000000e+02   3.43574379e+00   7.00668119e-01   7.00668119e-01
  2.64000000e+02   3.85345803e+00   7.11347121e-01   7.11347121e-01
  2.65000000e+02   3.94889594e+00   7.22194346e-01   7.22194346e-01
  2.66000000e+02   2.98167139e+00   7.33209151e-01   7.33209151e-01
  2.67000000e+02   3.40479988e+00   7.44391132e-01   7.44391132e-01
  2.68000000e+02   4.80757925e+00   7.55739422e-01   7.55739422e-01
  2.69000000e+02   5.01772135e+00   7.67252012e-01   7.67252012e-01
  2.70000000e+02   4.61772844e+00   7.78926441e-01   7.78926441e-01
  2.71000000e+02   5.51679276e+00   7.90760343e-01   7.90760343e-01
  2.72000000e+02   3.73966890e+00   8.02751316e-01   8.02751316e-01
  2.73000000e+02   5.75540801e+00   8.14896983e-01   8.14896983e-01
  2.74000000e+02   5.07593090e+00   8.27195022e-01   8.27195022e-01
  2.75000000e+02   5.18500509e+00   8.39642933e-01   8.39642933e-01
  2.76000000e+02   4.70320075e+00   8.52238382e-01   8.52238382e-01
  2.77000000e+02   7.29521342e+00   8.64978973e-01   8.64978973e-01
  2.78000000e+02   4.75952607e+00   8.77862408e-01   8.77862408e-01
  2.79000000e+02   5.87856717e+00   8.90886217e-01   8.90886217e-01
  2.80000000e+02   4.93175954e+00   9.04048199e-01   9.04048199e-01
  2.81000000e+02   5.85250570e+00   9.17345831e-01   9.17345831e-01
  2.82000000e+02   6.02551076e+00   9.30776818e-01   9.30776818e-01
  2.83000000e+02   7.06688284e+00   9.44338816e-01   9.44338816e-01
  2.84000000e+02   6.67546247e+00   9.58029503e-01   9.58029503e-01
  2.85000000e+02   5.82500500e+00   9.71846265e-01   9.71846265e-01
  2.86000000e+02   5.58462176e+00   9.85785401e-01   9.85785401e-01
  2.87000000e+02   6.42388774e+00   9.99842876e-01   9.99842876e-01
  2.88000000e+02   4.25802236e+00   1.01401462e+00   1.01401462e+00
  2.89000000e+02   7.05649501e+00   1.02829671e+00   1.02829671e+00
  2.90000000e+02   7.89243553e+00   1.04268514e+00   1.04268514e+00
  2.91000000e+02   6.74910745e+00   1.05717591e+00   1.05717591e+00
  2.92000000e+02   8.15198236e+00   1.07176519e+00   1.07176519e+00
  2.93000000e+02   8.93194855e+00   1.08644903e+00   1.08644903e+00
  2.94000000e+02   7.60820676e+00   1.10122349e+00   1.10122349e+00
  2.95000000e+02   8.58932698e+00   1.11608472e+00   1.11608472e+00
  2.96000000e+02   8.61776265e+00   1.13102899e+00   1.13102899e+00
  2.97000000e+02   1.04584014e+01   1.14605240e+00   1.14605240e+00
  2.98000000e+02   1.05577212e+01   1.16115095e+00   1.16115095e+00
  2.99000000e+02   7.29206854e+00   1.17632109e+00   1.17632109e+00
  3.00000000e+02   6.75020133e+00   1.19155894e+00   1.19155894e+00
  3.01000000e+02   8.40450178e+00   1.20686077e+00   1.20686077e+00
  3.02000000e+02   9.02691256e+00   1.22222258e+00   1.22222258e+00
  3.03000000e+02   9.56985244e+00   1.23763948e+00   1.23763948e+00
  3.04000000e+02   1.14011801e+01   1.25310640e+00   1.25310640e+00
  3.05000000e+02   1.03335840e+01   1.26861821e+00   1.26861821e+00
  3.06000000e+02   1.05595686e+01   1.28416970e+00   1.28416970e+00
  3.07000000e+02   8.51979832e+00   1.29975595e+00   1.29975595e+00
  3.08000000e+02   1.06191782e+01   1.31537190e+00   1.31537190e+00
  3.09000000e+02   1.17339121e+01   1.33101259e+00   1.33101259e+00
  3.10000000e+02   8.35486330e+00   1.34667296e+00   1.34667296e+00
  3.11000000e+02   1.41812468e+01   1.36234811e+00   1.36234811e+00
  3.12000000e+02   1.27392245e+01   1.37803321e+00   1.37803321e+00
  3.13000000e+02   1.09146625e+01   1.39372336e+00   1.39372336e+00
  3.14000000e+02   1.08574364e+01   1.40941345e+00   1.40941345e+00
  3.15000000e+02   1.10911334e+01   1.42509889e+00   1.42509889e+00
  3.16000000e+02   1.22147585e+01   1.44077473e+00   1.44077473e+00
  3.17000000e+02   1.14079082e+01   1.45643627e+00   1.45643627e+00
  3.18000000e+02   1.07478575e+01   1.47207870e+00   1.47207870e+00
  3.19000000e+02   1.31338586e+01   1.48769718e+00   1.48769718e+00
  3.20000000e+02   1.19071090e+01   1.50328647e+00   1.50328647e+00
  3.21000000e+02   1.22421106e+01   1.51884118e+00   1.51884118e+00
  3.22000000e+02   1.46518531e+01   1.53435598e+00   1.53435598e+00
  3.23000000e+02   1.34468513e+01   1.54982566e+00   1.54982566e+00
  3.24000000e+02   1.43079987e+01   1.56524485e+00   1.56524485e+00
  3.25000000e+02   1.55985494e+01   1.58060832e+00   1.58060832e+00
  3.26000000e+02   1.43779402e+01   1.59591086e+00   1.59591086e+00
  3.27000000e+02   1.61094552e+01   1.61114743e+00   1.61114743e+00
  3.28000000e+02   1.58126690e+01   1.62631273e+00   1.62631273e+00
  3.29000000e+02   1.40108755e+01   1.64140165e+00   1.64140165e+00
  3.30000000e+02   1.30165339e+01   1.65640898e+00   1.65640898e+00
  3.31000000e+02   1.72955425e+01   1.67132976e+00   1.67132976e+00
  3.32000000e+02   1.43925825e+01   1.68615882e+00   1.68615882e+00
  3.33000000e+02   1.63952723e+01   1.70089119e+00   1.70089119e+00
  3.34000000e+02   1.28485167e+01   1.71552187e+00   1.71552187e+00
  3.35000000e+02   1.67902212e+01   1.73004578e+00   1.73004578e+00
  3.36000000e+02   1.63013702e+01   1.74445804e+00   1.74445804e+00
  3.37000000e+02   1.97105135e+01   1.75875375e+00   1.75875375e+00
  3.38000000e+02   1.36038350e+01   1.77292807e+00   1.77292807e+00
  3.39000000e+02   1.60181175e+01   1.78697620e+00   1.78697620e+00
  3.40000000e+02   1.88329558e+01   1.80089339e+00   1.80089339e+00
  3.41000000e+02   1.45466693e+01   1.81467482e+00   1.81467482e+00
  3.42000000e+02   1.63789397e+01   1.82831581e+00   1.82831581e+00
  3.43000000e+02   1.44304628e+01   1.84181158e+00   1.84181158e+00
  3.44000000e+02   1.53405018e+01   1.85515763e+00   1.85515763e+00
  3.45000000e+02   1.39854312e+01   1.86834911e+00   1.86834911e+00
  3.46000000e+02   1.67754853e+01   1.88138139e+00   1.88138139e+00
  3.47000000e+02   1.52808145e+01   1.89424986e+00   1.89424986e+00
  3.48000000e+02   1.85918423e+01   1.90694997e+00   1.90694997e+00
  3.49000000e+02   1.61811847e+01   1.91947712e+00   1.91947712e+00
  3.50000000e+02   1.82623423e+01   1.93182679e+00   1.93182679e+00
  3.51000000e+02   1.75586910e+01   1.94399447e+00   1.94399447e+00
  3.52000000e+02   1.90453426e+01   1.95597564e+00   1.95597564e+00
  3.53000000e+02   1.60811793e+01   1.96776601e+00   1.96776601e+00
  3.54000000e+02   2.09544790e+01   1.97936196e+00   1.97936196e+00
  3.55000000e+02   1.88641133e+01   1.99075998e+00   1.99075998e+00
  3.56000000e+02   2.09806134e+01   2.00195671e+00   2.00195671e+00
  3.57000000e+02   1.87695664e+01   2.01294868e+00   2.01294868e+00
  3.58000000e+02   2.05456455e+01   2.02373256e+00   2.02373256e+00
  3.59000000e+02   1.77987846e+01   2.03430498e+00   2.03430498e+00
  3.60000000e+02   1.55881874e+01   2.04466278e+00   2.04466278e+00
  3.61000000e+02   1.87832029e+01   2.05480241e+00   2.05480241e+00
  3.62000000e+02   1.79924640e+01   2.06472063e+00   2.06472063e+00
  3.63000000e+02   2.08149421e+01   2.07441417e+00   2.07441417e+00
  3.64000000e+02   1.81954082e+01   2.08387987e+00   2.08387987e+00
  3.65000000e+02   2.14977925e+01   2.09311445e+00   2.09311445e+00
  3.66000000e+02   1.71842360e+01   2.10211479e+00   2.10211479e+00
  3.67000000e+02   1.46136521e+01   2.11087768e+00   2.11087768e+00
  3.68000000e+02   2.10629295e+01   2.11940003e+00   2.11940003e+00
  3.69000000e+02   1.69469285e+01   2.12767871e+00   2.12767871e+00
  3.70000000e+02   2.42542284e+01   2.13571093e+00   2.13571093e+00
  3.71000000e+02   2.09086959e+01   2.14349495e+00   2.14349495e+00
  3.72000000e+02   1.76565221e+01   2.15102949e+00   2.15102949e+00
  3.73000000e+02   2.03468443e+01   2.15831311e+00   2.15831311e+00
  3.74000000e+02   2.37631881e+01   2.16534455e+00   2.16534455e+00
  3.75000000e+02   2.22322559e+01   2.17212238e+00   2.17212238e+00
  3.76000000e+02   2.12570916e+01   2.17864549e+00   2.17864549e+00
  3.77000000e+02   2.27908471e+01   2.18491242e+00   2.18491242e+00
  3.78000000e+02   1.74305572e+01   2.19092186e+00   2.19092186e+00
